game_index,white_agent,black_agent,winner,white_won,black_won,draw,moves,termination_reason,white_avg_nodes,black_avg_nodes,white_avg_time,black_avg_time,total_avg_nodes,total_avg_time
112,Agent_enemy_king_danger,Agent_capture_threats__rook_activity,draw,0,0,1,60,move_cap,881.43,870.97,0.041859,0.088485,876.2,0.065172
113,Agent_enemy_king_danger,Agent_center_control__enemy_king_danger,b,0,1,0,16,king_exploded,699.12,779.75,0.03745,0.062903,739.44,0.050177
114,Agent_enemy_king_danger,Agent_center_control__king_safety,draw,0,0,1,60,move_cap,801.63,814.37,0.042002,0.045799,808.0,0.043901
115,Agent_enemy_king_danger,Agent_center_control__material,b,0,1,0,18,king_exploded,847.11,892.67,0.052893,0.046537,869.89,0.049715
116,Agent_king_safety,Agent_bishop_pair,draw,0,0,1,60,move_cap,574.23,332.4,0.011347,0.007094,453.32,0.009221
117,Agent_king_safety,Agent_capture_threats,draw,0,0,1,60,move_cap,681.27,691.33,0.012854,0.057119,686.3,0.034987
118,Agent_king_safety,Agent_center_control,b,0,1,0,14,king_exploded,714.0,671.71,0.015331,0.035535,692.86,0.025433
119,Agent_king_safety,Agent_enemy_king_danger,draw,0,0,1,60,move_cap,618.13,610.47,0.012022,0.027026,614.3,0.019524
120,Agent_king_safety,Agent_material,draw,0,0,1,60,move_cap,294.03,289.13,0.005611,0.005144,291.58,0.005377
121,Agent_king_safety,Agent_mobility,b,0,1,0,6,checkmate,684.67,763.67,0.013868,0.082393,724.17,0.04813
122,Agent_king_safety,Agent_pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.01295,0.026408,676.07,0.019679
123,Agent_king_safety,Agent_piece_position,b,0,1,0,12,king_exploded,539.5,571.17,0.009888,0.011345,555.33,0.010617
124,Agent_king_safety,Agent_rook_activity,draw,0,0,1,60,move_cap,363.43,317.4,0.00676,0.007385,340.42,0.007073
125,Agent_king_safety,Agent_bishop_pair__capture_threats,draw,0,0,1,60,move_cap,681.27,691.33,0.012868,0.064595,686.3,0.038732
126,Agent_king_safety,Agent_bishop_pair__center_control,b,0,1,0,14,king_exploded,714.0,671.71,0.013317,0.038297,692.86,0.025807
127,Agent_king_safety,Agent_bishop_pair__enemy_king_danger,draw,0,0,1,60,move_cap,657.97,612.47,0.012645,0.032431,635.22,0.022538
128,Agent_king_safety,Agent_bishop_pair__king_safety,draw,0,0,1,60,move_cap,291.43,287.8,0.005337,0.00868,289.62,0.007008
129,Agent_king_safety,Agent_bishop_pair__material,draw,0,0,1,60,move_cap,294.03,289.13,0.005846,0.008216,291.58,0.007031
130,Agent_king_safety,Agent_bishop_pair__mobility,b,0,1,0,6,checkmate,684.67,763.67,0.012505,0.069765,724.17,0.041135
131,Agent_king_safety,Agent_bishop_pair__pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.013581,0.034526,676.07,0.024054
132,Agent_king_safety,Agent_bishop_pair__piece_position,b,0,1,0,12,king_exploded,539.5,571.17,0.01462,0.018772,555.33,0.016696
133,Agent_king_safety,Agent_bishop_pair__rook_activity,draw,0,0,1,60,move_cap,475.37,381.57,0.008994,0.013069,428.47,0.011031
134,Agent_king_safety,Agent_capture_threats__center_control,draw,0,0,1,60,move_cap,701.5,731.1,0.013528,0.08255,716.3,0.048039
135,Agent_king_safety,Agent_capture_threats__enemy_king_danger,b,0,1,0,26,checkmate,593.92,612.69,0.011603,0.075933,603.31,0.043768
136,Agent_king_safety,Agent_capture_threats__king_safety,b,0,1,0,12,checkmate,519.33,518.83,0.009467,0.045877,519.08,0.027672
137,Agent_king_safety,Agent_capture_threats__material,draw,0,0,1,60,move_cap,681.27,691.33,0.013084,0.063354,686.3,0.038219
138,Agent_king_safety,Agent_capture_threats__mobility,b,0,1,0,38,king_exploded,792.68,959.58,0.015129,0.156767,876.13,0.085948
139,Agent_king_safety,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,713.47,724.6,0.014355,0.08984,719.03,0.052097
140,Agent_king_safety,Agent_capture_threats__piece_position,draw,0,0,1,60,move_cap,398.83,391.9,0.007424,0.028548,395.37,0.017986
141,Agent_king_safety,Agent_capture_threats__rook_activity,draw,0,0,1,60,move_cap,681.27,691.33,0.012955,0.066771,686.3,0.039863
142,Agent_king_safety,Agent_center_control__enemy_king_danger,b,0,1,0,60,king_exploded,452.97,445.93,0.011012,0.043343,449.45,0.027177
143,Agent_king_safety,Agent_center_control__king_safety,b,0,1,0,14,king_exploded,658.14,603.0,0.012313,0.037362,630.57,0.024837
144,Agent_king_safety,Agent_center_control__material,b,0,1,0,40,checkmate,606.75,620.6,0.012196,0.03332,613.67,0.022758
145,Agent_material,Agent_bishop_pair,b,0,1,0,34,king_exploded,408.29,393.29,0.008424,0.008345,400.79,0.008385
146,Agent_material,Agent_capture_threats,draw,0,0,1,60,move_cap,655.8,655.73,0.013452,0.054486,655.77,0.033969
147,Agent_material,Agent_center_control,b,0,1,0,14,king_exploded,665.43,697.14,0.013649,0.032407,681.29,0.023028
148,Agent_material,Agent_enemy_king_danger,draw,0,0,1,60,move_cap,680.63,734.67,0.014471,0.037409,707.65,0.02594
149,Agent_material,Agent_king_safety,draw,0,0,1,60,move_cap,333.93,311.67,0.006851,0.006207,322.8,0.006529
150,Agent_material,Agent_mobility,b,0,1,0,18,king_exploded,1035.11,1023.78,0.021355,0.087615,1029.44,0.054485
151,Agent_material,Agent_pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.013971,0.026582,676.07,0.020277
152,Agent_material,Agent_piece_position,b,0,1,0,12,king_exploded,552.33,621.83,0.010833,0.012074,587.08,0.011453
153,Agent_material,Agent_rook_activity,b,0,1,0,34,king_exploded,508.76,515.59,0.010158,0.012706,512.18,0.011432
154,Agent_material,Agent_bishop_pair__capture_threats,draw,0,0,1,60,move_cap,655.8,655.73,0.013942,0.063756,655.77,0.038849
155,Agent_material,Agent_bishop_pair__center_control,b,0,1,0,14,king_exploded,665.43,697.14,0.013512,0.03993,681.29,0.026721
156,Agent_material,Agent_bishop_pair__enemy_king_danger,draw,0,0,1,60,move_cap,686.9,741.6,0.014905,0.05112,714.25,0.033013
157,Agent_material,Agent_bishop_pair__king_safety,draw,0,0,1,60,move_cap,333.93,311.67,0.006863,0.009585,322.8,0.008224
158,Agent_material,Agent_bishop_pair__material,b,0,1,0,34,king_exploded,408.29,393.29,0.008181,0.011131,400.79,0.009656
159,Agent_material,Agent_bishop_pair__mobility,b,0,1,0,18,king_exploded,1035.11,1023.78,0.020942,0.096577,1029.44,0.058759
160,Agent_material,Agent_bishop_pair__pawn_structure,draw,0,0,1,60,move_cap,669.67,682.47,0.013921,0.034141,676.07,0.024031
161,Agent_material,Agent_bishop_pair__piece_position,b,0,1,0,12,king_exploded,552.33,621.83,0.010879,0.018673,587.08,0.014776
162,Agent_material,Agent_bishop_pair__rook_activity,b,0,1,0,34,king_exploded,508.76,515.59,0.010441,0.018888,512.18,0.014664
163,Agent_material,Agent_capture_threats__center_control,draw,0,0,1,60,move_cap,754.13,784.3,0.016414,0.08768,769.22,0.052047
164,Agent_material,Agent_capture_threats__enemy_king_danger,b,0,1,0,44,king_exploded,898.41,901.36,0.019141,0.116379,899.89,0.06776
165,Agent_material,Agent_capture_threats__king_safety,draw,0,0,1,60,move_cap,797.77,795.97,0.016492,0.076179,796.87,0.046335
166,Agent_material,Agent_capture_threats__material,draw,0,0,1,60,move_cap,655.8,655.73,0.019112,0.097867,655.77,0.058489
167,Agent_material,Agent_capture_threats__mobility,draw,0,0,1,60,move_cap,973.7,1008.7,0.023535,0.187724,991.2,0.105629
168,Agent_material,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,681.9,683.23,0.014727,0.08237,682.57,0.048548
169,Agent_material,Agent_capture_threats__piece_position,b,0,1,0,36,checkmate,425.0,542.11,0.008528,0.045275,483.56,0.026901
170,Agent_material,Agent_capture_threats__rook_activity,draw,0,0,1,60,move_cap,655.8,655.73,0.021429,0.068535,655.77,0.044982
171,Agent_material,Agent_center_control__enemy_king_danger,b,0,1,0,16,king_exploded,712.5,658.0,0.014583,0.051742,685.25,0.033163
172,Agent_material,Agent_center_control__king_safety,b,0,1,0,12,king_exploded,624.33,574.83,0.017791,0.045105,599.58,0.031448
173,Agent_material,Agent_center_control__material,draw,0,0,1,60,move_cap,818.9,830.6,0.017306,0.042894,824.75,0.0301
174,Agent_mobility,Agent_bishop_pair,w,1,0,0,5,checkmate,710.0,744.0,0.058091,0.015128,727.0,0.036609
175,Agent_mobility,Agent_capture_threats,draw,0,0,1,60,move_cap,852.3,606.5,0.073631,0.053621,729.4,0.063626
176,Agent_mobility,Agent_center_control,w,1,0,0,55,checkmate,952.39,883.3,0.083758,0.041513,917.84,0.062635
177,Agent_mobility,Agent_enemy_king_danger,w,1,0,0,5,checkmate,770.33,789.5,0.069335,0.039846,779.92,0.054591
178,Agent_mobility,Agent_king_safety,w,1,0,0,5,checkmate,710.0,744.0,0.063403,0.015896,727.0,0.039649
179,Agent_mobility,Agent_material,w,1,0,0,41,checkmate,837.33,809.95,0.06569,0.014241,823.64,0.039965
180,Agent_mobility,Agent_pawn_structure,w,1,0,0,5,checkmate,752.33,789.5,0.06453,0.031911,770.92,0.04822
181,Agent_mobility,Agent_piece_position,w,1,0,0,5,checkmate,775.67,810.0,0.079155,0.016523,792.83,0.047839
182,Agent_mobility,Agent_rook_activity,w,1,0,0,5,checkmate,710.0,744.0,0.059908,0.018326,727.0,0.039117
183,Agent_mobility,Agent_bishop_pair__capture_threats,draw,0,0,1,60,move_cap,852.3,606.5,0.07147,0.07027,729.4,0.07087
184,Agent_mobility,Agent_bishop_pair__center_control,w,1,0,0,7,checkmate,910.25,601.67,0.083427,0.033535,755.96,0.058481
185,Agent_mobility,Agent_bishop_pair__enemy_king_danger,w,1,0,0,5,checkmate,770.33,789.5,0.063663,0.04523,779.92,0.054447
186,Agent_mobility,Agent_bishop_pair__king_safety,w,1,0,0,5,checkmate,710.0,744.0,0.070718,0.022765,727.0,0.046742
187,Agent_mobility,Agent_bishop_pair__material,w,1,0,0,41,checkmate,837.33,809.95,0.065922,0.023742,823.64,0.044832
188,Agent_mobility,Agent_bishop_pair__mobility,w,1,0,0,5,checkmate,710.0,744.0,0.058626,0.066992,727.0,0.062809
189,Agent_mobility,Agent_bishop_pair__pawn_structure,w,1,0,0,5,checkmate,710.0,744.0,0.05771,0.037719,727.0,0.047714
190,Agent_mobility,Agent_bishop_pair__piece_position,w,1,0,0,5,checkmate,775.67,810.0,0.064797,0.024512,792.83,0.044654
191,Agent_mobility,Agent_bishop_pair__rook_activity,w,1,0,0,5,checkmate,710.0,744.0,0.058501,0.025169,727.0,0.041835
192,Agent_mobility,Agent_capture_threats__center_control,draw,0,0,1,60,move_cap,931.53,904.47,0.076759,0.098734,918.0,0.087747
193,Agent_mobility,Agent_capture_threats__enemy_king_danger,b,0,1,0,32,king_exploded,1005.94,843.31,0.102977,0.113595,924.62,0.108286
194,Agent_mobility,Agent_capture_threats__king_safety,w,1,0,0,5,checkmate,747.67,780.5,0.06019,0.071647,764.08,0.065918
195,Agent_mobility,Agent_capture_threats__material,b,0,1,0,58,king_exploded,660.69,703.59,0.052705,0.063845,682.14,0.058275
196,Agent_mobility,Agent_capture_threats__mobility,draw,0,0,1,60,move_cap,965.43,974.57,0.074898,0.144931,970.0,0.109914
197,Agent_mobility,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,834.23,647.47,0.070673,0.08271,740.85,0.076691
198,Agent_mobility,Agent_capture_threats__piece_position,draw,0,0,1,60,move_cap,962.07,955.13,0.079426,0.087223,958.6,0.083325
199,Agent_mobility,Agent_capture_threats__rook_activity,w,1,0,0,43,king_exploded,903.59,851.33,0.081011,0.089224,877.46,0.085117
200,Agent_mobility,Agent_center_control__enemy_king_danger,w,1,0,0,7,checkmate,910.25,601.67,0.078021,0.047493,755.96,0.062757
