game_index,moves,termination_reason,winner
733,60,move_cap,draw
734,21,checkmate,w
735,60,move_cap,draw
736,28,king_exploded,b
737,60,move_cap,draw
738,17,checkmate,w
739,60,move_cap,draw
740,60,move_cap,draw
741,17,king_exploded,w
742,60,move_cap,draw
743,21,checkmate,w
744,60,move_cap,draw
745,28,king_exploded,b
746,60,move_cap,draw
747,44,king_exploded,b
748,60,move_cap,draw
749,21,king_exploded,w
750,60,move_cap,draw
751,60,move_cap,draw
752,42,king_exploded,b
753,12,checkmate,b
754,60,move_cap,draw
755,60,move_cap,draw
756,37,checkmate,w
757,27,king_exploded,w
758,41,checkmate,w
759,60,move_cap,draw
760,60,move_cap,draw
761,13,checkmate,w
762,60,move_cap,draw
763,54,king_exploded,b
764,44,checkmate,b
765,20,king_exploded,b
766,22,king_exploded,b
767,41,checkmate,w
768,60,move_cap,draw
769,60,move_cap,draw
770,38,checkmate,b
771,60,move_cap,draw
772,32,king_exploded,b
773,34,king_exploded,b
774,30,king_exploded,b
775,60,move_cap,draw
776,60,move_cap,draw
777,60,move_cap,draw
778,49,king_exploded,w
779,60,move_cap,draw
780,42,king_exploded,b
781,60,move_cap,draw
782,60,move_cap,draw
783,29,king_exploded,w
784,15,king_exploded,w
785,32,king_exploded,b
786,15,king_exploded,w
787,60,move_cap,draw
788,60,move_cap,draw
789,22,king_exploded,b
790,21,king_exploded,w
791,29,king_exploded,w
792,60,move_cap,draw
793,15,king_exploded,w
794,32,king_exploded,b
795,60,move_cap,draw
796,60,move_cap,draw
797,60,move_cap,draw
798,22,king_exploded,b
799,19,king_exploded,w
800,29,king_exploded,w
801,60,move_cap,draw
802,40,king_exploded,b
803,15,king_exploded,w
804,13,king_exploded,w
805,60,move_cap,draw
806,60,move_cap,draw
807,57,king_exploded,w
808,60,move_cap,draw
809,15,king_exploded,w
810,11,king_exploded,w
811,60,move_cap,draw
812,37,king_exploded,w
813,60,move_cap,draw
814,11,king_exploded,w
815,38,king_exploded,b
816,60,move_cap,draw
817,44,checkmate,b
818,60,move_cap,draw
819,42,king_exploded,b
820,60,move_cap,draw
821,19,king_exploded,w
822,60,move_cap,draw
823,26,king_exploded,b
824,24,king_exploded,b
825,60,move_cap,draw
826,37,king_exploded,w
827,60,move_cap,draw
828,60,move_cap,draw
829,60,move_cap,draw
830,60,move_cap,draw
831,35,king_exploded,w
832,38,king_exploded,b
833,60,move_cap,draw
834,36,king_exploded,b
835,20,king_exploded,b
836,56,checkmate,b
837,31,king_exploded,w
838,60,move_cap,draw
839,40,king_exploded,b
840,60,move_cap,draw
841,49,checkmate,w
842,53,king_exploded,w
843,60,move_cap,draw
844,40,king_exploded,b
845,39,checkmate,w
846,49,checkmate,w
847,34,king_exploded,b
848,21,king_exploded,w
849,60,move_cap,draw
850,25,checkmate,w
851,53,king_exploded,w
852,39,checkmate,w
853,60,move_cap,draw
854,39,checkmate,w
855,49,checkmate,w
856,34,king_exploded,b
857,39,checkmate,w
858,60,move_cap,draw
859,25,checkmate,w
860,29,checkmate,w
861,40,checkmate,b
862,43,king_exploded,w
863,31,checkmate,w
864,60,move_cap,draw
865,60,move_cap,draw
866,27,king_exploded,w
867,53,king_exploded,w
868,40,king_exploded,b
869,22,king_exploded,b
